Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"UMUOGWALI PUBLIC SCHOOL, AWKA SOUTH, ANAMBRA",6.2083353,7.0711129,2,214,9,4,237,1023,,,,,
"AFOR AGBALA SQUARE I, AWKA SOUTH, ANAMBRA",6.1338542,7.0787749,0,125,4,1,140,737,,,,,
"AFOR AGBALA SQUARE II, AWKA SOUTH, ANAMBRA",6.1338542,7.0787749,3,147,4,0,161,795,,,,,
"EZI OMEM SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,212,3,1,229,816,,,,,
"EZI OMEM SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,186,1,2,199,673,,,,,
"EZI EFIFIE SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,215,5,0,224,987,,,,,
"EZI EFIFIE SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,176,1,0,184,867,,,,,
"EZI OMEM PLAY GROUND I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,162,3,0,174,686,,,,,
"EZI OMEM PLAY GROUND II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,136,3,0,143,627,,,,,
"EZI NWOFOR SQUARE, AWKA SOUTH, ANAMBRA",6.2219884,7.0820523,1,151,2,0,165,725,,,,,
"AFOR AGULU SQUARE I, AWKA SOUTH, ANAMBRA",6.1984446,7.0674106,13,219,5,0,259,1618,,,,,
"AFOR AGULU SQUARE II, AWKA SOUTH, ANAMBRA",6.1984446,7.0674106,7,223,3,0,235,1111,,,,,
"AFOR AGULU SQUARE III, AWKA SOUTH, ANAMBRA",6.1984446,7.0674106,2,174,9,2,166,954,,,,,
"OYE MARKET SQUARE I, AWKA SOUTH, ANAMBRA",6.1484977,7.1014998,1,132,22,0,163,821,,,,,
"OYE MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1484977,7.1014998,3,145,17,1,177,874,,,,,
"OBODOIANA PUBLIC SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,91,4,0,97,480,,,,,
"OBODOIANA PUBLIC SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,5,76,29,0,86,489,,,,,
"UMUJAGWO SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,126,10,0,139,540,,,,,
"UMUJAGWO SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,124,6,0,137,559,,,,,
"EZI UMUOGBU SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,249,8,0,278,1170,,,,,
"EZI UMUOGBU SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,204,6,1,228,844,,,,,
"UMUIKE PUBLIC SQUARE I, AWKA SOUTH, ANAMBRA",6.2021886,7.0764312,1,136,8,0,161,457,,,,,
"UMUIKE PUBLIC SQUARE II, AWKA SOUTH, ANAMBRA",6.2021886,7.0764312,0,187,10,0,216,729,,,,,
"UMUORUKA SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,95,2,0,102,445,,,,,
"UMUORUKA SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,65,8,0,79,260,,,,,
"ASUSU PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,81,2,0,87,465,,,,,
"ASUSU PRY. SCHOOL II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,36,4,1,44,156,,,,,
"OBU OFU SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,88,2,1,97,443,,,,,
"OBU OFU SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,115,2,0,122,665,,,,,
"OBUNAGU VILLAGE SQUARE I, AWKA SOUTH, ANAMBRA",6.2086195,7.0581183,0,405,3,0,433,1710,,,,,
"OBUNAGU VILLAGE SQUARE II, AWKA SOUTH, ANAMBRA",6.2086195,7.0581183,0,323,4,9,353,1572,,,,,
"EZIENECHI SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,140,8,2,157,844,,,,,
"EZI UDO SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,118,6,0,128,706,,,,,
"EZI IBI SQUARE I, AWKA SOUTH, ANAMBRA",6.2051622,7.0644417,1,256,6,0,274,1063,,,,,
"EZI IBI SQUARE II, AWKA SOUTH, ANAMBRA",6.2051622,7.0644417,3,277,3,0,291,1087,,,,,
"UMUDIANA PUBLIC SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,120,9,0,133,778,,,,,
"UMUDIANA PUBLIC SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,146,1,0,148,717,,,,,
"UMUDIANA PUBLIC SQUARE III, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,113,8,0,130,698,,,,,
"OBODOEZI SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,141,1,0,148,1281,,,,,
"OBODOEZI SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,215,4,1,237,976,,,,,
"DORIS INN SQUARE I, AWKA SOUTH, ANAMBRA",6.2102409,7.066414,0,184,1,0,189,1299,,,,,
"DORIS INN SQUARE II, AWKA SOUTH, ANAMBRA",6.2102409,7.066414,0,214,5,0,228,829,,,,,
"G.T.C COMPOUND, AWKA SOUTH, ANAMBRA",6.2208997,6.9369559,1,504,1,0,510,1883,,,,,
"OGBUGBANKWA SQUARE I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,3,222,8,2,245,847,,,,,
"OGBUGBANKWA SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,4,241,5,3,265,1207,,,,,
"COMMUNITY PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,278,7,0,293,1116,,,,,
"COMMUNITY PRY. SCHOOL II, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,144,3,0,169,620,,,,,
"COMMUNITY PRY. SCHOOL III, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,200,9,1,214,749,,,,,
"COMMUNITY PRY. SCHOOL V, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,159,3,1,174,595,,,,,
"UNITY PRY. SCHOOL, AWKA SOUTH, ANAMBRA",6.2005257,6.9747718,0,221,2,1,236,673,,,,,
"EBE DUNU SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,203,7,1,216,845,,,,,
"CENTRAL SCHOOL I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,101,4,1,109,411,,,,,
"CENTRAL SCHOOL I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,77,6,0,109,411,,,,,
"NDIORAH VILLAGE SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,127,4,1,142,426,,,,,
"AFOR MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,2,54,78,1,69,250,,,,,
"CENTRAL SCHOOL, ISIAGU I, AWKA SOUTH, ANAMBRA",6.1844622,7.1102464,7,34,34,0,79,634,,,,,
"CENTRAL SCHOOL, ISIAGU II, AWKA SOUTH, ANAMBRA",6.1844622,7.1102464,3,78,3,0,87,342,,,,,
"CENTRAL SCHOOL, ISIAGU IV, AWKA SOUTH, ANAMBRA",6.1844622,7.1102464,0,58,0,0,60,222,,,,,
"CENTRAL SCHOOL, ISIAGU V, AWKA SOUTH, ANAMBRA",6.1844622,7.1102464,1,62,2,0,65,228,,,,,
"OBU OKPALA SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,114,3,0,126,330,,,,,
"OBU OKPALA SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,129,5,2,147,471,,,,,
"NKWO MARKET SQUARE I, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,0,0,0,0,136,369,,,,,
"NKWO MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,0,0,0,0,78,278,,,,,
"NKWO MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,2,110,2,0,120,283,,,,,
"NKWO MARKET SQUARE IV, AWKA SOUTH, ANAMBRA",6.1413224,7.0728009,2,144,7,1,172,415,,,,,
"AFOR MARKET SQUARE I, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,4,163,2,1,182,533,,,,,
"AFOR MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,2,122,1,0,132,384,,,,,
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,1,145,2,0,156,541,,,,,
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,1,97,1,1,156,541,,,,,
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,1,67,69,0,156,541,,,,,
"AFOR MARKET SQUARE III, AWKA SOUTH, ANAMBRA",6.1836835,7.1165898,7,113,3,0,156,541,,,,,
"EZI EDWARD SQUARE II, AWKA SOUTH, ANAMBRA",6.1351774,7.082285,3,88,2,0,97,315,,,,,
"EZI EDWARD SQAURE III, AWKA SOUTH, ANAMBRA",6.1351774,7.082285,3,63,1,0,73,239,,,,,
"EZI EDWARD SQAURE III, AWKA SOUTH, ANAMBRA",6.1351774,7.082285,2,80,0,0,73,239,,,,,
"COUNCIL SCHOOL, URU I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,92,3,0,97,243,,,,,
"COUNCIL SCHOOL, URU II, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,2,54,0,0,56,211,,,,,
"CENTRAL SCHOOL I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,255,7,0,279,958,,,,,
"CENTRAL SCHOOL II, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,150,1,0,158,445,,,,,
"AKABOR VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,211,3,0,221,729,,,,,
"AKABOR VILLAGE HALL II, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,168,2,1,185,536,,,,,
"AKABOR VILLAGE HALL III, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,2,155,1,2,160,396,,,,,
"AKABOR VILLAGE HALL III, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,2,122,3,1,160,396,,,,,
"EKE NIBO SQUARE, AWKA SOUTH, ANAMBRA",6.172039,7.0675935,2,145,0,0,158,629,,,,,
"EKE NIBO SQUARE, AWKA SOUTH, ANAMBRA",6.172039,7.0675935,0,113,0,0,158,629,,,,,
"UMUNNAKWE HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,5,91,2,0,103,265,,,,,
"UMUNNAKWE HALL II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,4,104,1,0,126,280,,,,,
"EZI NWANKWO PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,163,1,0,169,476,,,,,
"EZI NWANKWO PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,4,158,9,2,169,476,,,,,
"EZI NWANKWO PRY. SCHOOL III, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,145,1,0,163,529,,,,,
"EZIKE PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.1718168,7.061012,2,120,5,0,139,493,,,,,
"EZIKE PRY. SCHOOL II, AWKA SOUTH, ANAMBRA",6.1718168,7.061012,0,154,0,0,156,438,,,,,
"UMUKA HALL I, AWKA SOUTH, ANAMBRA",6.2060148,7.074944,2,118,1,0,136,419,,,,,
"UMUKA HALL I, AWKA SOUTH, ANAMBRA",6.2060148,7.074944,4,114,1,2,136,419,,,,,
"EZIKE HIGH SCHOOL I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,271,1,1,292,1144,,,,,
"EZIKE HIGH SCHOOL II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,209,1,2,222,743,,,,,
"UMUNONO HALL I, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,2,171,6,1,192,746,,,,,
"UMUNONO HALL II, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,2,215,2,0,233,858,,,,,
"MATERNITY PREMISES I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,146,4,0,167,436,,,,,
"MATERNITY PREMISES II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,300,3,0,310,1667,,,,,
"OBUNZEKWE SQUARE I, AWKA SOUTH, ANAMBRA",6.1842067,7.0659655,2,111,3,0,127,379,,,,,
"OBUNZEKWE SQUARE II, AWKA SOUTH, ANAMBRA",6.1842067,7.0659655,0,96,0,0,107,376,,,,,
"EZI OKPORA SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,98,1,0,100,385,,,,,
"ENUGO UMUNONO I, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,1,113,3,0,123,376,,,,,
"ENUGO UMUNONO II, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,1,128,0,0,131,376,,,,,
"OBU UBOSI SQUARE, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,3,102,3,0,116,361,,,,,
"UMUEKE ILE HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,73,1,0,76,363,,,,,
"UMUEKE ILE HALL II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,94,1,0,102,341,,,,,
"OBINWANNE PRY. SCHOOL I, AWKA SOUTH, ANAMBRA",6.1850141,7.0801735,2,115,3,1,131,431,,,,,
"OBINWANNE PRY. SCHOOL II, AWKA SOUTH, ANAMBRA",6.1850141,7.0801735,6,100,1,0,113,337,,,,,
"EBEDE NGENE UDO II, AWKA SOUTH, ANAMBRA",6.1984672,7.0594355,0,69,2,0,72,300,,,,,
"NKWO UMUAGBOGHOBIA I, AWKA SOUTH, ANAMBRA",6.1912433,7.0759678,0,201,5,0,227,885,,,,,
"NKWO UMUAGBOGHOBIA II, AWKA SOUTH, ANAMBRA",6.1912433,7.0759678,0,198,1,0,219,631,,,,,
"URUANA HALL I, AWKA SOUTH, ANAMBRA",6.1737141,7.0688778,0,201,0,0,203,746,,,,,
"URUANA HALL II, AWKA SOUTH, ANAMBRA",6.1737141,7.0688778,1,165,2,0,180,605,,,,,
"URUANA HALL II, AWKA SOUTH, ANAMBRA",6.1737141,7.0688778,1,130,3,0,180,605,,,,,
"EZIELLE SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,81,2,0,85,311,,,,,
"EZI EBENEBE SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,74,1,0,81,252,,,,,
"EZI EBENEBE SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,1,30,1,0,36,123,,,,,
"EZI EBENEBE SQUARE III, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,49,0,0,49,149,,,,,
"EZI EGBE SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,2,109,0,0,84,258,,,,,
"EZI EGBE SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,69,0,0,74,190,,,,,
"ISI AKPU HALL I, AWKA SOUTH, ANAMBRA",6.15263,7.0463133,1,249,1,1,268,1071,,,,,
"ISI AKPU HALL II, AWKA SOUTH, ANAMBRA",6.15263,7.0463133,0,173,3,1,185,557,,,,,
"EKE AFOR MARKET SQUARE I, AWKA SOUTH, ANAMBRA",6.1563848,7.0521927,0,252,2,3,259,644,,,,,
"EKE AFOR MARKET SQUARE II, AWKA SOUTH, ANAMBRA",6.1563848,7.0521927,0,269,1,0,274,766,,,,,
"W.A.E.C SQUARE I, AWKA SOUTH, ANAMBRA",6.1981049,7.0683454,0,78,0,2,84,391,,,,,
"W.A.E.C SQUARE II, AWKA SOUTH, ANAMBRA",6.1981049,7.0683454,0,39,0,0,42,162,,,,,
"EZI EZENWAKA SQUARE I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,156,2,0,164,696,,,,,
"EZI EZENWAKA SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,146,1,1,159,637,,,,,
"NGENE NKWO SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,83,3,0,89,294,,,,,
"NGENE NKWO SQUARE II, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,83,3,0,106,351,,,,,
"UMUAZU HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,4,228,3,0,240,779,,,,,
"UMUAZU HALL I, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,1,241,6,0,240,779,,,,,
"UMUNONO HALL I, AWKA SOUTH, ANAMBRA",6.1819033,7.0641674,5,192,2,1,201,618,,,,,
"UMUEZEOKPALA SQUARE, AWKA SOUTH, ANAMBRA",6.2125736,7.0745306,1,151,9,1,175,688,,,,,
"AFOR OKPUNO, AWKA SOUTH, ANAMBRA",6.2473259,7.0619444,0,136,3,0,143,857,,,,,
"EBE IRU OFFIA SQUARE I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,100,5,0,106,639,,,,,
"EBE IRU OFFIA SQUARE II, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,0,234,6,0,244,1191,,,,,
"EBE IRUNONO SQUARE III, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,3,109,3,0,120,344,,,,,
"EZI EBE OKOCHI SQUARE, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,178,3,0,188,805,,,,,
"EZI EBE OKOCHI SQUARE, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,98,1,0,188,805,,,,,
"EZI EBE OKOCHI SQUARE, AWKA SOUTH, ANAMBRA",6.2220043,7.0821162,2,256,5,0,188,805,,,,,
"NODU VILLAGE HALL II, AWKA SOUTH, ANAMBRA",6.2324502,7.0701167,0,501,3,1,510,1967,,,,,
"OKOCHI VILLAGE HALL, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,187,5,1,204,829,,,,,
"OYE UMUENU SQUARE I, AWKA SOUTH, ANAMBRA",6.1274565,7.0779892,0,82,3,0,98,247,,,,,
"OYE UMUENU SQUARE II, AWKA SOUTH, ANAMBRA",6.1274565,7.0779892,1,62,2,1,72,221,,,,,
"COMMUNITY SCHOOL I, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,58,0,0,60,167,,,,,
"COMMUNITY SCHOOL III, AWKA SOUTH, ANAMBRA",6.2116033,7.0713572,0,70,0,0,76,235,,,,,
"AGBANA VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.237463,7.1090215,1,119,9,0,139,425,,,,,
"CENTRAL SCHOOL I, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,164,1,0,168,647,,,,,
"CENTRAL SCHOOL II, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,0,79,2,0,86,360,,,,,
"CENTRAL SCHOOL III, AWKA SOUTH, ANAMBRA",6.2212592,7.0827159,1,120,5,0,137,469,,,,,
"ENUGWU VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,0,169,3,0,181,606,,,,,
"ENUGWU VILLAGE HALL II, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,1,118,4,0,124,496,,,,,
"ENUGWU VILLAGE HALL III, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,0,123,5,0,136,484,,,,,
"ENUGWU VILLAGE HALL IV, AWKA SOUTH, ANAMBRA",6.1719594,7.0303542,1,107,3,0,119,415,,,,,
"UMUENU VILLAGE HALL I, AWKA SOUTH, ANAMBRA",6.1274565,7.0779892,0,216,3,0,228,635,,,,,
"CENTRAL SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,190,5,1,208,851,,,,,
"CENTRAL SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,160,4,2,185,796,,,,,
"CENTRAL SCHOOL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,147,2,0,153,592,,,,,
"CENTRAL SCHOOL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,178,5,2,153,592,,,,,
"AKWA VILLAGE HALL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,148,1,8,0,104,384,,,,,
"ILOAMAOBIALU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,72,1,0,78,266,,,,,
"ILOKWUJELU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,4,48,3,0,56,209,,,,,
"ILOKWUJELU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,40,2,1,47,155,,,,,
"UKPOMILI HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,141,3,0,154,573,,,,,
"UKPOMILI HALL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,83,3,0,92,356,,,,,
"UKPOMILI HALL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,19,26,39,3,125,471,,,,,
"AGUORJI P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,147,0,0,147,763,,,,,
"AGUORJI P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,142,0,1,148,610,,,,,
"AGUORJI P/S III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,124,0,0,129,618,,,,,
"ST. MARY'S SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,164,1,1,171,714,,,,,
"ST. MARY'S SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,162,0,0,167,681,,,,,
"OBIEZE VILLAGE SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,220,6,1,247,781,,,,,
"OBIEZE VILLAGE SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,133,2,0,140,500,,,,,
"OBIEZE VILLAGE SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,106,0,0,116,404,,,,,
"OBIEZE VILLAGE SQUARE IV, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,115,2,0,119,407,,,,,
"NNEAMAKA SEC. SCHOOL I, DUNUKOFIA, ANAMBRA",6.2109548,6.9527619,1,105,7,1,116,476,,,,,
"NNEAMAKA SEC. SCHOOL II, DUNUKOFIA, ANAMBRA",6.2109548,6.9527619,0,151,3,0,164,603,,,,,
"ST. MARTINS P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,7,168,3,0,187,689,,,,,
"ST. MARTINS P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,186,3,0,198,632,,,,,
"OZALA P/S I, DUNUKOFIA, ANAMBRA",6.2080732,6.9478618,0,300,0,0,307,1248,,,,,
"OZALA P/S II, DUNUKOFIA, ANAMBRA",6.2080732,6.9478618,8,205,5,1,231,893,,,,,
"ILONGWU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,82,2,0,93,351,,,,,
"ILONGWU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,86,0,0,87,292,,,,,
"ILOAMASATO SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,0,0,0,99,314,,,,,
"ILOAMASATO SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,83,4,0,90,356,,,,,
"ILOAMASATO SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,84,0,0,86,338,,,,,
"IRUKA P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,102,0,0,103,379,,,,,
"IRUKA P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,78,0,1,81,330,,,,,
"OKWUDILI HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,114,1,1,129,383,,,,,
"ANIOMA SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,4,128,1,0,141,545,,,,,
"ANIOMA SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,101,2,1,111,345,,,,,
"EBE IFITEORA HALL, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,112,0,0,118,271,,,,,
"EBE AKWAESO HALL, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,134,0,0,138,365,,,,,
"EZIMEZI SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,93,4,1,105,288,,,,,
"EZIMEZI SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,107,1,1,111,292,,,,,
"COMMUNITY P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,115,3,0,124,429,,,,,
"COMMUNITY P/S II, DUNUKOFIA, ANAMBRA",6.2582446,7.0332016,1,103,0,1,106,442,,,,,
"EBE OLLOR SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,110,1,0,114,293,,,,,
"EBE OLLOR SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,36,18,1,0,156,598,,,,,
"UNITY P/S I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,3,160,3,0,168,528,,,,,
"UNITY P/S II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,94,4,0,103,379,,,,,
"UNITY P/S III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,111,6,0,125,538,,,,,
"UNITY P/S IV, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,54,6,0,61,229,,,,,
"EKWUEME HALL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,164,9,0,180,754,,,,,
"EKWUEME HALL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,148,8,1,163,813,,,,,
"EKWUEME HALL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,0,11,144,159,648,,,,,
"AKWETE SEC. SCHOOL I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,73,6,0,79,312,,,,,
"AKWETE SEC. SCHOOL II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,22,3,0,25,95,,,,,
"AKWETE SEC. SCHOOL III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,60,8,0,71,356,,,,,
"IRUOKWUMENE SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,93,1,0,99,400,,,,,
"IRUOKWUMENE SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,51,1,2,55,247,,,,,
"IRUOKWUMENE SQUARE III, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,118,1,0,120,410,,,,,
"IRUAGU SQUARE I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,2,130,5,0,148,483,,,,,
"IRUAGU SQUARE II, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,0,110,3,0,126,421,,,,,
"AGUAFOR P/S I, DUNUKOFIA, ANAMBRA",6.1897522,6.9609255,0,95,11,0,110,484,,,,,
"AGUAFOR P/S II, DUNUKOFIA, ANAMBRA",6.1897522,6.9609255,0,94,2,0,100,434,,,,,
"OKPATU MEM. SCHOOL I, DUNUKOFIA, ANAMBRA",6.1938756,6.9713512,0,86,3,1,98,362,,,,,
"OKPATU MEM. SCHOOL II, DUNUKOFIA, ANAMBRA",6.1938756,6.9713512,1,105,1,1,111,404,,,,,
"IRUBUCHI KINDERGATEN I, DUNUKOFIA, ANAMBRA",6.2009693,6.9786326,1,85,9,0,101,376,,,,,
