Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"OFOSIE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,308,1653,,,,,
"OFOSIE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,251,0,1,308,1653,,,,,
"UMUEZE NWAFOR PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,230,1,2,235,1094,,,,,
"AMAUDO UMUOWELE, AGUATA, ANAMBRA",6.1304007,7.0364022,0,333,1,0,342,1295,,,,,
"AMAUDO UMUOWELE, AGUATA, ANAMBRA",6.1304007,7.0364022,0,197,0,0,342,1295,,,,,
"AMAUDO UMUOWELE, AGUATA, ANAMBRA",6.1304007,7.0364022,0,0,199,0,342,1295,,,,,
"UMUEZENNANI HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,290,1,2,322,1429,,,,,
"EZEZUEGBU SQUARE (OPEN SPACE), AGUATA, ANAMBRA",6.0085842,7.1009488,3,223,4,2,243,818,,,,,
"PARAGON PHARMACY I (OPEN SPACE), AGUATA, ANAMBRA",6.0246408,7.0794152,2,78,0,0,80,242,,,,,
"PARAGON PHARMACY I (OPEN SPACE), AGUATA, ANAMBRA",6.0246408,7.0794152,1,176,0,0,80,242,,,,,
"IHUOKPALA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,216,0,0,219,845,,,,,
"IHUOKPALA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,185,0,1,219,845,,,,,
"OBI-NKWO SQUARE II, AGUATA, ANAMBRA",6.0103107,7.1050751,5,110,1,1,122,411,,,,,
"AMAUDO SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,152,1,1,161,548,,,,,
"EZEKANNAGHA SQUARE I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,177,0,0,183,713,,,,,
"EZEKANNAGHA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,188,2,0,192,624,,,,,
"EZIAGULU PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,226,1,2,235,836,,,,,
"NWANEBO PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,309,1,0,310,1044,,,,,
"NWANEBO PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,209,0,0,211,660,,,,,
"NWANEBO PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,112,1,0,211,660,,,,,
"G.S.S. EKWULOBIA, AGUATA, ANAMBRA",6.0256442,7.0770727,0,170,1,0,178,816,,,,,
"EZIAGULU VILLAGE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,159,0,0,162,488,,,,,
"EZIAGULU HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,209,8,1,218,838,,,,,
"EKEMEZIE SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,107,0,0,110,394,,,,,
"AGBA PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,165,2,1,176,667,,,,,
"DELIGHT INT. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,138,0,0,141,432,,,,,
"UMUOMA HALL, AGUATA, ANAMBRA",5.784066,6.833425,2,206,0,3,214,636,,,,,
"HEALTH CENTRE, AGUATA, ANAMBRA",5.9606744,7.1342039,0,130,0,2,135,516,,,,,
"HEALTH CENTRE, AGUATA, ANAMBRA",5.9606744,7.1342039,0,100,1,0,135,516,,,,,
"EZEILOEGBUNA SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,56,1,0,60,228,,,,,
"TOWN HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,6,193,6,0,217,862,,,,,
